Title,Category,Type,Release Year,Added Year,Duration (Minutes/Episodes),IMDB Rating,Director,Country,Platform
Gladiator 2,Drama,Movie,2020,2024,167,4.9,Martin Scorsese,South Korea,Hulu
The Godfather 1,Sci-Fi,TV Show,1997,2017,20,6.3,Steven Spielberg,Germany,Apple TV+
Inception 9,Horror,TV Show,1975,2013,100,8.1,Steven Spielberg,Japan,Apple TV+
Inception 9,Drama,Movie,1970,2018,174,7.7,Steven Spielberg,France,Apple TV+
Sherlock 7,Drama,Movie,1987,2007,66,9.2,Martin Scorsese,UK,Disney+
Titanic 3,Drama,TV Show,1987,2025,70,6.6,James Cameron,Australia,Amazon Prime
The Witcher 7,Drama,Movie,1994,2001,71,7.1,Martin Scorsese,Canada,Hulu
The Boys 3,Crime,Movie,2002,2005,172,9.1,Steven Spielberg,UK,Netflix
Fight Club 2,Action,Movie,1977,2010,88,7.1,Steven Spielberg,Australia,Netflix
Titanic 10,Action,Movie,1994,2020,129,7.1,Quentin Tarantino,Canada,Hulu
Breaking Bad 2,Comedy,TV Show,2024,2025,20,4,Quentin Tarantino,India,HBO Max
The Dark Knight 6,Crime,TV Show,2000,2022,90,6,Christopher Nolan,France,Netflix
Stranger Things 3,Romance,Movie,2004,2010,119,4.1,J.J. Abrams,Germany,Disney+
Pulp Fiction 3,Mystery,TV Show,1989,2013,70,8.5,J.J. Abrams,South Korea,Apple TV+
Black Mirror 2,Fantasy,Movie,2012,2017,68,7.4,Ridley Scott,Japan,Apple TV+
Squid Game 4,Romance,Movie,1982,2006,178,8.1,David Fincher,South Korea,Amazon Prime
Westworld 4,Drama,Movie,2010,2014,71,9.1,Martin Scorsese,UK,Amazon Prime
The Mandalorian 5,Sci-Fi,TV Show,2004,2021,80,5.6,Ridley Scott,South Korea,HBO Max
The Mandalorian 10,Thriller,TV Show,2013,2019,10,8.1,Martin Scorsese,Germany,HBO Max
Game of Thrones 7,Fantasy,TV Show,2022,2023,40,6.5,Francis Ford Coppola,Australia,Amazon Prime
Friends 6,Fantasy,Movie,1997,2005,110,5.2,Steven Spielberg,Australia,Apple TV+
The Dark Knight 8,Crime,Movie,2003,2016,142,6.7,Ridley Scott,Japan,Amazon Prime
Stranger Things 10,Drama,TV Show,2024,2025,50,6.1,J.J. Abrams,South Korea,Apple TV+
Money Heist 1,Romance,TV Show,2016,2022,30,8.1,Ridley Scott,France,Netflix
The Witcher 10,Crime,TV Show,1986,1995,60,6.8,J.J. Abrams,South Korea,HBO Max
The Crown 9,Crime,TV Show,2000,2001,40,5.6,J.J. Abrams,Spain,Amazon Prime
Gladiator 5,Action,TV Show,2004,2011,90,9.5,Denis Villeneuve,Japan,Disney+
Chernobyl 9,Drama,Movie,1971,1983,164,4.5,Martin Scorsese,Spain,Netflix
Breaking Bad 6,Sci-Fi,Movie,1977,2019,87,5.8,Ridley Scott,Canada,Disney+
Fight Club 10,Mystery,Movie,1996,2004,166,5.4,Steven Spielberg,Germany,HBO Max
Stranger Things 8,Thriller,TV Show,1998,2001,90,7.1,Quentin Tarantino,Spain,Apple TV+
Stranger Things 1,Sci-Fi,Movie,1979,2023,125,6.4,David Fincher,Canada,HBO Max
Inception 10,Fantasy,Movie,2005,2008,82,8.7,Martin Scorsese,Germany,Hulu
Black Mirror 1,Thriller,Movie,2004,2008,105,5.7,Steven Spielberg,France,Netflix
Inception 3,Comedy,Movie,2010,2021,139,4.2,Denis Villeneuve,South Korea,Disney+
The Boys 2,Action,TV Show,2012,2016,10,6.4,Steven Spielberg,Canada,Hulu
Gladiator 6,Thriller,TV Show,1973,1997,30,4.6,David Fincher,USA,Disney+
Friends 9,Crime,Movie,1994,2001,145,5.8,Francis Ford Coppola,France,HBO Max
House of Cards 2,Thriller,Movie,1973,1993,66,4.7,Francis Ford Coppola,India,Apple TV+
Fight Club 7,Drama,Movie,1992,2017,94,4.7,J.J. Abrams,Spain,Amazon Prime
Stranger Things 9,Sci-Fi,TV Show,2014,2014,50,8.7,David Fincher,Australia,Amazon Prime
Westworld 8,Fantasy,Movie,1999,1999,89,5.5,David Fincher,Canada,Netflix
Black Mirror 4,Action,Movie,1997,2005,140,8.1,James Cameron,Australia,Apple TV+
Fight Club 2,Sci-Fi,Movie,1992,1996,79,9.4,J.J. Abrams,Germany,HBO Max
The Boys 5,Crime,Movie,2006,2012,81,8.9,Christopher Nolan,USA,Netflix
Black Mirror 3,Action,TV Show,1972,2009,100,6,Martin Scorsese,South Korea,Amazon Prime
The Boys 9,Drama,Movie,1971,1978,173,5.6,Ridley Scott,Japan,Netflix
Fight Club 9,Sci-Fi,TV Show,1974,2019,60,7.7,J.J. Abrams,UK,Amazon Prime
Stranger Things 8,Horror,TV Show,2022,2024,10,9.3,David Fincher,USA,Amazon Prime
The Witcher 8,Fantasy,TV Show,1984,2021,20,4.5,Steven Spielberg,USA,Hulu
Westworld 10,Horror,TV Show,2011,2019,40,6.5,J.J. Abrams,South Korea,HBO Max
The Mandalorian 6,Drama,TV Show,2008,2017,100,8.9,Steven Spielberg,India,Disney+
Narcos 1,Romance,Movie,1979,2013,121,4.3,Ridley Scott,France,Amazon Prime
The Office 8,Thriller,TV Show,2016,2020,40,6.8,Francis Ford Coppola,Australia,Netflix
The Dark Knight 8,Horror,TV Show,1975,1995,90,8.6,J.J. Abrams,Australia,Disney+
The Mandalorian 7,Action,Movie,1990,2024,102,5.1,Christopher Nolan,France,Hulu
The Godfather 10,Action,Movie,1974,2021,75,7.6,Martin Scorsese,Japan,Disney+
Stranger Things 6,Sci-Fi,TV Show,2005,2017,50,8.4,James Cameron,Germany,HBO Max
Titanic 7,Comedy,Movie,2015,2018,132,7.4,J.J. Abrams,UK,Disney+
Game of Thrones 10,Sci-Fi,TV Show,2021,2023,20,8.6,Francis Ford Coppola,France,Amazon Prime
Money Heist 2,Mystery,Movie,1978,2006,173,7.6,Christopher Nolan,Spain,Netflix
The Mandalorian 8,Horror,TV Show,2019,2019,70,4.9,Ridley Scott,Australia,Amazon Prime
The Mandalorian 2,Drama,Movie,2014,2021,85,8.4,Martin Scorsese,USA,Hulu
House of Cards 2,Mystery,TV Show,2019,2025,10,6.6,Quentin Tarantino,Germany,HBO Max
Westworld 6,Fantasy,TV Show,1997,2006,60,6.1,Ridley Scott,Canada,Disney+
Game of Thrones 5,Crime,Movie,2000,2021,109,6.2,Steven Spielberg,Canada,Hulu
The Witcher 9,Mystery,Movie,2022,2022,104,7.9,James Cameron,Canada,Disney+
Squid Game 4,Fantasy,TV Show,2017,2018,20,6.8,James Cameron,Germany,HBO Max
The Dark Knight 6,Fantasy,TV Show,2013,2024,10,8.3,David Fincher,UK,Netflix
Avengers: Endgame 9,Sci-Fi,Movie,1986,2011,161,4.5,Ridley Scott,Canada,Hulu
Game of Thrones 8,Thriller,TV Show,2006,2007,90,7.4,James Cameron,UK,Apple TV+
The Office 1,Sci-Fi,Movie,2024,2024,149,7.3,Quentin Tarantino,South Korea,Amazon Prime
Gladiator 2,Action,Movie,1980,1987,164,5.1,Martin Scorsese,Canada,Hulu
Breaking Bad 1,Mystery,TV Show,1987,2008,20,6.9,Christopher Nolan,USA,Netflix
The Crown 9,Thriller,Movie,1975,2011,60,8.4,Ridley Scott,USA,Disney+
The Crown 6,Crime,Movie,1972,2017,162,5.8,Christopher Nolan,Canada,Disney+
Titanic 5,Romance,TV Show,1998,2018,60,7,Francis Ford Coppola,Spain,Disney+
The Witcher 3,Sci-Fi,TV Show,1975,1989,70,6,David Fincher,Japan,Amazon Prime
Black Mirror 2,Fantasy,TV Show,2018,2021,20,7,Martin Scorsese,France,Apple TV+
Squid Game 10,Crime,TV Show,1975,1988,40,7.1,Denis Villeneuve,Spain,HBO Max
Sherlock 2,Drama,TV Show,1983,1990,20,4.6,Martin Scorsese,Germany,Hulu
Gladiator 3,Romance,TV Show,1980,2025,80,7,Francis Ford Coppola,Germany,Apple TV+
House of Cards 10,Romance,Movie,2016,2025,179,6.3,Ridley Scott,India,Disney+
Game of Thrones 5,Sci-Fi,Movie,2023,2025,152,5.1,David Fincher,UK,Hulu
The Mandalorian 4,Thriller,TV Show,1988,2018,20,8,Ridley Scott,Canada,Netflix
House of Cards 6,Action,Movie,1978,2014,79,4.3,Denis Villeneuve,Australia,Hulu
Fight Club 7,Sci-Fi,TV Show,1992,2004,20,7.9,Francis Ford Coppola,Germany,HBO Max
Squid Game 4,Drama,TV Show,1979,2014,30,8.8,J.J. Abrams,Australia,Disney+
The Mandalorian 1,Drama,Movie,2024,2025,129,6.9,Martin Scorsese,USA,Apple TV+
Stranger Things 4,Fantasy,TV Show,2008,2022,70,4.6,Denis Villeneuve,Canada,HBO Max
House of Cards 7,Romance,TV Show,1977,1986,100,6,Steven Spielberg,France,Netflix
Pulp Fiction 2,Action,TV Show,1993,2013,40,7.8,James Cameron,Japan,Amazon Prime
Stranger Things 5,Sci-Fi,Movie,1997,2019,178,9.4,Quentin Tarantino,UK,Hulu
Inception 10,Drama,TV Show,2016,2018,50,8.7,J.J. Abrams,Canada,Netflix
The Boys 2,Comedy,TV Show,2018,2023,80,7.4,David Fincher,Japan,Disney+
Westworld 1,Comedy,TV Show,2016,2022,10,5.5,J.J. Abrams,Spain,Apple TV+
Fight Club 6,Mystery,TV Show,1976,2009,40,8,Denis Villeneuve,UK,Amazon Prime
Interstellar 3,Mystery,Movie,1985,1995,117,4.8,Francis Ford Coppola,South Korea,Apple TV+
Avengers: Endgame 1,Fantasy,Movie,2021,2021,136,6.7,Denis Villeneuve,USA,Hulu
Westworld 2,Horror,Movie,2001,2011,73,9.1,James Cameron,Germany,Apple TV+
Sherlock 4,Romance,Movie,2007,2012,82,4.3,Francis Ford Coppola,Canada,Amazon Prime
Pulp Fiction 1,Sci-Fi,Movie,1974,1986,109,8.9,Francis Ford Coppola,Australia,Netflix
Westworld 3,Action,TV Show,2015,2018,30,5.4,Martin Scorsese,Canada,Disney+
The Dark Knight 4,Crime,TV Show,1982,2020,90,9,Ridley Scott,USA,Disney+
Sherlock 6,Thriller,TV Show,2013,2018,80,7.5,Denis Villeneuve,France,Amazon Prime
The Godfather 7,Romance,Movie,1990,2006,154,4.9,Christopher Nolan,France,Disney+
Narcos 3,Action,Movie,1985,2004,146,8.4,J.J. Abrams,Spain,Apple TV+
Breaking Bad 3,Mystery,Movie,1991,2014,92,5,James Cameron,Spain,Hulu
Inception 1,Thriller,Movie,1991,1998,62,8,Francis Ford Coppola,South Korea,Netflix
The Mandalorian 2,Mystery,TV Show,1997,1999,20,8.7,Ridley Scott,Canada,Hulu
The Godfather 3,Comedy,Movie,1984,1998,70,7.3,James Cameron,Germany,Hulu
Interstellar 1,Crime,TV Show,1977,1978,90,4,Francis Ford Coppola,India,Disney+
Pulp Fiction 10,Sci-Fi,TV Show,2019,2021,100,6.3,James Cameron,Australia,Netflix
The Mandalorian 6,Horror,Movie,1970,1999,141,4.1,Martin Scorsese,UK,HBO Max
The Witcher 6,Romance,Movie,2019,2022,141,7.4,James Cameron,Australia,Hulu
Westworld 1,Thriller,TV Show,1978,2012,50,6.7,David Fincher,India,Hulu
The Dark Knight 8,Horror,TV Show,1994,2023,10,5.3,Francis Ford Coppola,Australia,Hulu
Breaking Bad 6,Horror,TV Show,2012,2016,100,5.3,J.J. Abrams,Australia,Disney+
Interstellar 1,Crime,TV Show,1988,1995,20,8,James Cameron,France,Netflix
The Witcher 6,Comedy,TV Show,1977,1993,50,4.4,James Cameron,Germany,Disney+
Interstellar 10,Fantasy,TV Show,1978,1990,90,7.4,Steven Spielberg,Canada,HBO Max
The Witcher 5,Mystery,Movie,2009,2015,99,9.2,David Fincher,Japan,Hulu
Pulp Fiction 8,Sci-Fi,TV Show,2021,2025,70,5.9,Martin Scorsese,Australia,Apple TV+
Narcos 9,Fantasy,Movie,1976,2012,148,8.1,Denis Villeneuve,Spain,Netflix
Squid Game 1,Action,TV Show,1992,2025,100,9.1,Quentin Tarantino,UK,Hulu
The Boys 3,Sci-Fi,TV Show,2024,2025,40,9.4,J.J. Abrams,UK,Hulu
The Boys 10,Action,Movie,1985,2003,85,4.5,J.J. Abrams,Germany,HBO Max
Money Heist 1,Fantasy,Movie,2019,2025,125,6.8,Ridley Scott,Japan,Netflix
The Godfather 7,Crime,TV Show,1978,2002,90,9.4,Quentin Tarantino,France,Hulu
Pulp Fiction 1,Mystery,Movie,2019,2021,110,5.5,Denis Villeneuve,Germany,Netflix
The Boys 2,Thriller,TV Show,1991,1995,70,8.1,Ridley Scott,Canada,Hulu
Titanic 8,Drama,Movie,1998,2025,120,7.3,Steven Spielberg,Canada,Apple TV+
Game of Thrones 1,Thriller,Movie,2022,2024,112,4.6,Steven Spielberg,USA,Amazon Prime
Black Mirror 2,Comedy,Movie,2001,2013,112,8.6,David Fincher,UK,Hulu
Narcos 7,Fantasy,TV Show,1994,1999,100,4.3,David Fincher,Japan,Disney+
Interstellar 1,Drama,Movie,2018,2022,129,8.5,David Fincher,UK,Apple TV+
Gladiator 4,Thriller,TV Show,1974,2025,20,7.9,Ridley Scott,India,Amazon Prime
Friends 10,Sci-Fi,Movie,1981,2003,93,7.8,Francis Ford Coppola,UK,Netflix
The Boys 2,Action,Movie,2011,2014,119,8.3,James Cameron,USA,Disney+
Money Heist 4,Sci-Fi,Movie,1972,1980,65,6.4,Steven Spielberg,UK,HBO Max
Game of Thrones 6,Romance,Movie,1974,2012,153,4.9,J.J. Abrams,Australia,Netflix
Westworld 2,Thriller,TV Show,2000,2023,50,6.9,James Cameron,Spain,Disney+
Breaking Bad 2,Crime,TV Show,1971,1971,10,4.9,David Fincher,France,HBO Max
The Office 9,Action,TV Show,1993,1995,30,8.7,Denis Villeneuve,UK,Apple TV+
Fight Club 1,Horror,Movie,2019,2023,166,9.4,James Cameron,India,Amazon Prime
Squid Game 10,Crime,TV Show,2011,2017,30,5.5,J.J. Abrams,South Korea,Apple TV+
Titanic 3,Drama,Movie,2005,2007,175,4.1,Martin Scorsese,Germany,HBO Max
Narcos 9,Comedy,Movie,1978,2025,168,7.6,James Cameron,UK,HBO Max
Stranger Things 9,Action,Movie,2005,2017,179,7.1,Martin Scorsese,South Korea,Netflix
Money Heist 3,Romance,TV Show,2013,2020,30,8.1,James Cameron,Spain,Disney+
Breaking Bad 6,Comedy,TV Show,1970,1974,80,5.9,Christopher Nolan,Australia,Disney+
Money Heist 5,Fantasy,TV Show,1975,1986,90,5.5,David Fincher,France,Hulu
The Dark Knight 4,Drama,TV Show,2001,2009,10,6.7,James Cameron,UK,Amazon Prime
Game of Thrones 6,Horror,TV Show,2008,2022,10,7.5,Christopher Nolan,Germany,Amazon Prime
The Mandalorian 8,Mystery,TV Show,1997,1999,70,7.4,Martin Scorsese,France,Netflix
Black Mirror 6,Crime,Movie,2005,2022,96,6.8,Denis Villeneuve,Australia,Netflix
Gladiator 7,Comedy,Movie,1987,2024,100,4.1,David Fincher,Canada,Disney+
Interstellar 8,Mystery,TV Show,1999,2008,70,7.5,J.J. Abrams,France,HBO Max
Fight Club 10,Sci-Fi,TV Show,1975,1988,10,9.4,Quentin Tarantino,Australia,HBO Max
The Crown 8,Mystery,TV Show,2023,2023,40,5.4,Martin Scorsese,South Korea,Amazon Prime
Stranger Things 3,Horror,Movie,1987,2000,105,7.8,Martin Scorsese,Japan,Disney+
Sherlock 6,Crime,TV Show,1992,2015,20,5.7,Francis Ford Coppola,France,Netflix
Fight Club 4,Horror,TV Show,1970,2022,80,6.4,Quentin Tarantino,Germany,Netflix
Pulp Fiction 9,Sci-Fi,TV Show,2004,2019,80,7.3,Francis Ford Coppola,India,Amazon Prime
Narcos 3,Thriller,TV Show,1982,1986,40,4.1,Francis Ford Coppola,Germany,Hulu
The Witcher 6,Mystery,TV Show,2015,2015,90,8.9,Christopher Nolan,USA,HBO Max
Chernobyl 8,Romance,Movie,1998,2018,172,9.4,Christopher Nolan,Germany,HBO Max
Black Mirror 5,Mystery,TV Show,1989,2003,20,7.3,Christopher Nolan,UK,Amazon Prime
Black Mirror 9,Thriller,Movie,1994,2012,162,5.1,Christopher Nolan,India,Hulu
The Godfather 1,Mystery,Movie,2005,2017,138,7.1,Quentin Tarantino,Canada,Netflix
Friends 5,Romance,Movie,1998,2010,129,7.1,Ridley Scott,South Korea,HBO Max
The Office 1,Sci-Fi,Movie,1975,2006,100,9.2,David Fincher,Australia,Apple TV+
Fight Club 3,Romance,Movie,1971,2019,114,8.3,David Fincher,Germany,Netflix
Game of Thrones 2,Thriller,Movie,1975,2007,108,4.8,Francis Ford Coppola,Germany,Netflix
Money Heist 3,Thriller,Movie,2011,2011,123,8.1,J.J. Abrams,Germany,Apple TV+
The Crown 2,Horror,TV Show,1972,2007,30,7.2,Christopher Nolan,France,HBO Max
Narcos 5,Action,TV Show,1988,1989,20,4.2,Steven Spielberg,Australia,Amazon Prime
The Boys 8,Drama,Movie,1988,2007,156,8.9,J.J. Abrams,Australia,Hulu
Titanic 10,Sci-Fi,Movie,2018,2022,88,8.7,Martin Scorsese,France,Netflix
Fight Club 5,Romance,TV Show,1975,1976,50,4.9,Ridley Scott,Australia,HBO Max
Gladiator 9,Romance,TV Show,2009,2020,70,6.7,J.J. Abrams,India,Netflix
Interstellar 7,Horror,TV Show,1972,1977,70,7.9,J.J. Abrams,South Korea,Amazon Prime
Money Heist 8,Romance,Movie,1989,1995,100,8.2,Martin Scorsese,USA,Disney+
Sherlock 3,Romance,Movie,1974,1979,130,4.7,Martin Scorsese,UK,Hulu
Fight Club 3,Action,TV Show,2023,2025,70,7.2,Francis Ford Coppola,Japan,Amazon Prime
Stranger Things 10,Mystery,TV Show,1990,2016,20,4.8,Denis Villeneuve,France,Netflix
Game of Thrones 6,Drama,Movie,2012,2018,174,7.7,David Fincher,Japan,Netflix
Narcos 10,Sci-Fi,TV Show,1994,2023,10,5.7,Ridley Scott,Germany,Hulu
Narcos 4,Mystery,TV Show,1992,2024,60,5,J.J. Abrams,India,Disney+
The Godfather 2,Mystery,Movie,1984,2022,142,7.5,David Fincher,Germany,Disney+
Inception 4,Mystery,TV Show,2017,2017,20,8.1,Francis Ford Coppola,UK,Disney+
Stranger Things 1,Thriller,TV Show,2023,2023,70,9,David Fincher,France,Hulu
Avengers: Endgame 6,Horror,TV Show,2013,2025,10,6.3,Christopher Nolan,UK,Disney+
The Witcher 5,Comedy,Movie,1995,2023,153,8.3,Martin Scorsese,UK,Hulu
The Mandalorian 3,Romance,Movie,2024,2025,100,4.6,Ridley Scott,Japan,Apple TV+
Narcos 8,Drama,Movie,2010,2020,122,7.3,J.J. Abrams,India,Amazon Prime
Westworld 8,Crime,TV Show,2016,2017,90,4.1,James Cameron,Japan,Amazon Prime
Stranger Things 2,Action,TV Show,1986,2005,10,4.7,J.J. Abrams,UK,Amazon Prime
Fight Club 6,Drama,TV Show,2020,2024,60,4.3,J.J. Abrams,USA,Hulu
The Crown 9,Crime,TV Show,1971,2021,20,7,Steven Spielberg,Germany,Netflix
Pulp Fiction 3,Crime,TV Show,1978,2023,100,6.5,J.J. Abrams,South Korea,Disney+
Inception 4,Fantasy,Movie,1970,2006,105,5.2,David Fincher,South Korea,Netflix
Squid Game 6,Action,TV Show,1987,2013,60,7.7,Denis Villeneuve,South Korea,Disney+
Black Mirror 10,Action,TV Show,2018,2019,60,6.4,Denis Villeneuve,Japan,Hulu
Fight Club 8,Thriller,Movie,2008,2020,90,6.2,Steven Spielberg,USA,Hulu
Narcos 5,Crime,TV Show,1983,2007,20,4.9,David Fincher,India,HBO Max
The Dark Knight 3,Sci-Fi,Movie,2005,2006,117,8,J.J. Abrams,Germany,Amazon Prime
Narcos 7,Comedy,TV Show,1977,2008,40,8.2,Quentin Tarantino,Canada,Apple TV+
Sherlock 8,Comedy,TV Show,2006,2017,40,5.6,Quentin Tarantino,Japan,Disney+
The Crown 3,Comedy,Movie,1975,2023,149,9.3,Denis Villeneuve,India,Amazon Prime
Westworld 3,Mystery,Movie,1986,2001,105,7.3,Martin Scorsese,Germany,Amazon Prime
The Boys 9,Crime,TV Show,1994,2010,30,6.2,David Fincher,South Korea,Disney+
Friends 3,Action,TV Show,1989,2009,70,5.3,Francis Ford Coppola,Canada,Netflix
Squid Game 7,Action,Movie,2002,2003,151,6.2,Steven Spielberg,Spain,HBO Max
Pulp Fiction 8,Thriller,Movie,2003,2010,80,9.5,Ridley Scott,France,HBO Max
The Mandalorian 6,Comedy,Movie,1979,2003,111,7.7,James Cameron,USA,Disney+
Chernobyl 4,Mystery,TV Show,1973,2003,100,7.7,Denis Villeneuve,Canada,Netflix
Game of Thrones 2,Crime,Movie,1992,1997,120,8.4,Christopher Nolan,Japan,Netflix
Sherlock 4,Horror,Movie,1995,2013,96,8.7,James Cameron,South Korea,Amazon Prime
Avengers: Endgame 3,Thriller,TV Show,2004,2008,100,5.8,Ridley Scott,Japan,Apple TV+
Game of Thrones 7,Comedy,Movie,2014,2014,125,8.4,Francis Ford Coppola,UK,Apple TV+
The Dark Knight 8,Romance,TV Show,1980,2021,60,9.2,Francis Ford Coppola,UK,HBO Max
The Dark Knight 4,Mystery,Movie,1982,2019,66,7.9,Quentin Tarantino,Japan,Netflix
Avengers: Endgame 7,Fantasy,Movie,2015,2016,87,6.4,James Cameron,Japan,HBO Max
Pulp Fiction 10,Sci-Fi,Movie,1999,2015,161,8,Martin Scorsese,UK,Hulu
Stranger Things 2,Crime,Movie,1990,2002,83,7.4,Quentin Tarantino,Germany,Amazon Prime
The Boys 3,Thriller,TV Show,1973,1991,80,8.7,J.J. Abrams,South Korea,HBO Max
Pulp Fiction 9,Thriller,Movie,1977,2005,93,7.9,Ridley Scott,Spain,Hulu
Fight Club 4,Action,TV Show,1985,1993,50,5.2,Denis Villeneuve,USA,Disney+
Titanic 1,Crime,Movie,2013,2017,128,5.9,J.J. Abrams,Canada,Amazon Prime
The Godfather 2,Crime,Movie,2019,2025,155,8.7,Francis Ford Coppola,Australia,Amazon Prime
Friends 7,Action,Movie,1982,2005,145,6.4,Ridley Scott,Japan,Amazon Prime
Money Heist 7,Crime,TV Show,1990,1999,80,6.7,Ridley Scott,USA,Disney+
Gladiator 5,Fantasy,TV Show,1980,2001,90,5.5,J.J. Abrams,Canada,Amazon Prime
Avengers: Endgame 3,Horror,TV Show,2011,2012,50,5.8,Christopher Nolan,Australia,Disney+
Game of Thrones 7,Romance,Movie,2006,2007,130,7.3,J.J. Abrams,Spain,Amazon Prime
Black Mirror 4,Romance,TV Show,1995,1998,70,6.2,Denis Villeneuve,India,Hulu
The Crown 1,Crime,Movie,2016,2017,142,6.4,Steven Spielberg,South Korea,Disney+
Interstellar 5,Romance,Movie,2023,2024,151,9.1,Christopher Nolan,South Korea,Apple TV+
Inception 4,Horror,Movie,2020,2024,103,7,Steven Spielberg,UK,Netflix
Interstellar 8,Horror,Movie,1978,1992,74,6.3,James Cameron,Spain,Amazon Prime
Gladiator 6,Romance,TV Show,1988,2025,90,9.3,James Cameron,UK,Apple TV+
Game of Thrones 1,Mystery,Movie,2001,2024,79,6.6,David Fincher,Australia,Netflix
Sherlock 7,Romance,Movie,1993,2025,135,9.4,Francis Ford Coppola,France,Apple TV+
Fight Club 9,Action,TV Show,1986,2020,60,5,Quentin Tarantino,Spain,Netflix
Friends 1,Comedy,Movie,1971,1982,88,4.3,Christopher Nolan,France,Netflix
The Crown 7,Action,TV Show,1974,1991,40,9.2,David Fincher,Spain,Apple TV+
Narcos 8,Romance,Movie,1979,2010,122,4.8,Steven Spielberg,Canada,HBO Max
House of Cards 1,Romance,Movie,2012,2024,61,7.6,Martin Scorsese,Australia,HBO Max
Inception 3,Comedy,Movie,2011,2019,143,6.2,James Cameron,Canada,Disney+
Money Heist 8,Action,Movie,1970,1972,155,5.7,J.J. Abrams,Spain,HBO Max
The Mandalorian 1,Thriller,Movie,1972,1977,62,7.6,Christopher Nolan,Spain,HBO Max
Breaking Bad 2,Mystery,TV Show,1997,2021,90,6.6,Francis Ford Coppola,Canada,Amazon Prime
Squid Game 9,Crime,Movie,2024,2025,66,4.3,Quentin Tarantino,Australia,Amazon Prime
Breaking Bad 2,Thriller,Movie,2023,2023,72,8.3,James Cameron,Canada,Netflix
Sherlock 7,Fantasy,Movie,2005,2011,172,5.1,Denis Villeneuve,Canada,Apple TV+
Gladiator 5,Drama,TV Show,2018,2018,20,6.8,James Cameron,South Korea,Hulu
Squid Game 1,Romance,Movie,1973,1987,138,8.4,Christopher Nolan,Japan,HBO Max
Squid Game 3,Sci-Fi,Movie,1977,1980,122,6.6,Francis Ford Coppola,USA,HBO Max
The Mandalorian 1,Action,TV Show,1980,2022,70,9.3,David Fincher,Spain,Disney+
Breaking Bad 9,Romance,TV Show,1978,1987,40,6,Martin Scorsese,South Korea,Amazon Prime
The Mandalorian 1,Mystery,TV Show,2023,2023,20,5.4,Martin Scorsese,India,Amazon Prime
Stranger Things 3,Action,Movie,1993,2019,96,5.1,Quentin Tarantino,Canada,Apple TV+
The Office 4,Comedy,Movie,1976,2025,116,6.4,Martin Scorsese,South Korea,Hulu
Interstellar 9,Comedy,TV Show,2010,2016,70,9.2,Ridley Scott,UK,Netflix
Pulp Fiction 4,Horror,TV Show,1993,2024,30,7.4,Martin Scorsese,France,Apple TV+
The Godfather 5,Romance,TV Show,1999,2021,60,8.6,Francis Ford Coppola,Australia,Apple TV+
Interstellar 10,Thriller,TV Show,1974,1981,80,4,David Fincher,USA,Disney+
Interstellar 5,Sci-Fi,Movie,2018,2020,115,6.8,Martin Scorsese,Germany,Hulu
Black Mirror 3,Horror,TV Show,2002,2024,20,7.2,James Cameron,India,Hulu
Inception 6,Mystery,TV Show,1992,2013,40,5.9,Denis Villeneuve,France,Amazon Prime
The Mandalorian 2,Sci-Fi,Movie,2002,2004,74,7.8,Christopher Nolan,Spain,Amazon Prime
Interstellar 8,Horror,TV Show,2005,2024,80,9,Ridley Scott,Japan,Amazon Prime
Stranger Things 7,Horror,TV Show,2008,2016,90,6.5,Ridley Scott,UK,Apple TV+
Interstellar 8,Romance,TV Show,2012,2016,40,4.5,James Cameron,India,Apple TV+
The Mandalorian 7,Crime,TV Show,2002,2017,70,7.3,Steven Spielberg,Spain,HBO Max
The Godfather 7,Sci-Fi,TV Show,1994,2000,50,4.4,Quentin Tarantino,India,HBO Max
The Office 3,Thriller,Movie,1985,2024,78,4.5,Steven Spielberg,USA,Disney+
Inception 8,Comedy,TV Show,2020,2021,30,5.4,Martin Scorsese,Canada,Disney+
Interstellar 5,Comedy,Movie,1988,1989,140,7.6,J.J. Abrams,UK,Hulu
Stranger Things 5,Action,Movie,1986,2013,111,8.4,David Fincher,USA,HBO Max
Breaking Bad 8,Fantasy,Movie,1987,2005,110,7.5,J.J. Abrams,UK,Hulu
Fight Club 1,Drama,TV Show,1975,2017,20,4.3,Ridley Scott,France,HBO Max
The Crown 4,Horror,Movie,1997,2013,166,8.9,J.J. Abrams,France,Amazon Prime
Gladiator 4,Thriller,TV Show,1999,2005,60,8.2,Quentin Tarantino,Japan,Hulu
The Boys 7,Fantasy,TV Show,1982,1984,90,8.4,David Fincher,Germany,Disney+
Chernobyl 10,Romance,TV Show,1979,1996,20,5.3,Quentin Tarantino,Germany,Hulu
Stranger Things 7,Action,Movie,1977,2000,173,7.9,Christopher Nolan,India,Netflix
Breaking Bad 3,Mystery,Movie,1977,2016,169,6.9,Martin Scorsese,Germany,Netflix
Breaking Bad 6,Fantasy,Movie,1988,2015,151,8.4,Denis Villeneuve,India,HBO Max
Avengers: Endgame 8,Romance,Movie,1983,2022,118,6.4,Quentin Tarantino,Germany,HBO Max
Inception 4,Fantasy,Movie,2007,2023,129,4.4,J.J. Abrams,Japan,Apple TV+
The Dark Knight 8,Comedy,TV Show,1996,2005,20,6.9,Christopher Nolan,Australia,Hulu
